authors,title,abstract,year published,DOI,relevancy_score
"Abbaspoor, Zahra; Amani, Anis; Afshari, Poorandokht; Jafarirad, Sima",The effect of education through mobile phone short message service on promoting self-care in pre-diabetic pregnant women: A randomized controlled trial,"Introduction: Gestational diabetes is increasing in developed and developing countries. This study aimed to evaluate the effect of SMS messaging on the self-care among pre-diabetic pregnant women. Methods: This randomized controlled trial conducted on 100 pre-diabetic pregnant women referred to Ahvaz Health Centers, Iran, Sep to Dec, 2016. Women were randomly assigned into the face to face education group and short message systems in addition to the face to face education group. Self-care variables were compared between the groups. Data was analyzed using chi-square, independent and paired t-tests. Results: There was no difference regard to FBG and OGTT, but there was a significant difference between groups in physical activity level ( P < 0.001) and in all food groups except bread and cereals after the intervention ( P < 0.05). Conclusion: The education through a short text message system seem couldn’t control the blood sugar, but it could promote physical activity and food additives of pre-diabetic pregnant women. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",2020,https://doi.org/10.1177/1357633X18791419,4
"Abdelaziz, Heba Ahmed; Dean, Yomna E.; Elshafie, Ahmed Mohamed Ahmed",Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: A randomized controlled study,"Background and aim: Emergence agitation (EA) after general anesthesia is common in patients with post-traumatic stress disorder (PTSD). Due to the recent worldwide events such as the Covid-19 pandemic and wars, PTSD is not rare. Accordingly, a reliable, cost-effective anesthetic protocol to lower the incidence of EA is crucial. Therefore, we aimed to compare three different interventions for avoiding EA in PTSD patients undergoing gynecological laparoscopic surgery. Participants were divided into four groups: 1: performing pre-operative relaxation techniques (deep breathing exercise and progressive muscle relaxation [PMR]); 2: administrating intra-operative Ketamine; 3: applying both previously mentioned strategies and 4 as controls. Methods: This study was carried out on 144 adult women scheduled for gynecological laparoscopy, randomly allocated into four groups: three intervention groups and a control group (36 each). Women aged 18-45 years old, with a diagnosis of PTSD were included in the study. Patients with a positive history of major neurological, cardiovascular, metabolic, respiratory, or renal disease were excluded. Any patient who reported the use of psychiatric drugs were also excluded from the study. Data was analyzed using IBM SPSS Statistics software version 26. Kolmogorov- Smirnov was used to verify the normality of the distribution of variables. Odds ratio was calculated to clarify the strength and direction of the association between intervention groups and control. Data was deemed significant at a p-value ≤0.05. Results: Heart rate (HR) and Mean Arterial Blood Pressure (MABP) intra-operative and post-operative till 24 hours were significantly lower in groups 1, 2, and 3 compared to group 4 ( p<0.001). There was a significant statistical difference in the intraoperative HR percentage decrease. MABP percentage decrease post-operative was higher in all the intervention groups with no statistically significant difference, except for group 1 compared to group 4, which was statistically significant (12.28 ± 11.77 and 6.10 ± 7.24, p=0.025). Visual Analogue Scale measurements were significantly less in the intervention groups 1, 2, and 3 compared to group 4. On Riker sedation–agitation scores, group 1 was 85 times more likely to be non-agitated (85 (15.938 – 453.307), p<0.001), group 2 was 175 times more likely to be non-agitated (175 (19.932–1536.448), p<0.001) and group 3 was protected against agitation. Conclusion: Pre-operative relaxation techniques (breathing exercises and PMR) significantly lowered HR, MABP, VAS score, and EA than controls. These effects were not significantly different from intra-operative ketamine injection or the combination of both (relaxation techniques and ketamine). We recommend routine pre-operative screening for PTSD and the application of relaxation techniques (breathing exercises and PMR) in the pre-operative preparation protocol of PTSD-positive cases as well as routine practical application of preoperative relaxation techniques. Further studies on using pre-operative relaxation techniques in general could be cost-effective. (PsycInfo Database Record (c) 2024 APA, all rights reserved) (Source: journal abstract)",2024,https://doi.org/10.1186/s12888-024-05525-5,1
"Aboody, Dinur; Siev, Jedidiah; Doron, Guy",Building resilience to body image triggers using brief cognitive training on a mobile application: A randomized controlled trial,"Objective: Body image disturbance (BID) is common among women, characterized by persistent and distressing appearance dissatisfaction, and linked with eating disorders. Although effective, cognitive behavioral therapy (CBT) delivered by trained professionals is not easily accessible. This randomized trial evaluated the effects of a CBT-based mobile application designed to increase resilience to body image triggers and reduce BID symptoms. Method: A non-clinical sample of women ( N = 90; M age = 23.52) was randomized to use the mobile application for approximately 4 min of daily exercises for two weeks or to a control condition. Body image was measured at baseline, immediately after two weeks of mobile application use, and at 1-month follow-up. To examine whether using the application was associated with increased resilience to common BID triggers, participants completed an Instagram exposure resilience task upon completion and at 1-month follow-up. Results: Relative to those in the control condition, participants who used the application demonstrated increased resiliency and reduced BID symptoms. Theses effects were medium-to-large and were maintained at 1-month follow-up. Conclusion: These results underscore the potential usefulness of brief, low-intensity, portable interventions in reducing BID symptoms and in increasing resilience to thin-ideal body messages often portrayed on social media. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",2020,https://doi.org/10.1016/j.brat.2020.103723,1
"Abrantes, Ana M.; Van Noppen, Donnell; Bailey, Genie; Uebelacker, Lisa A.; Buman, Matthew; Stein, Michael D.",A feasibility study of a peer-facilitated physical activity intervention in methadone maintenance,"Purpose: While methadone maintenance treatment (MMT) has been effective in improving opioid use outcomes, most patients continue to engage in unhealthy lifestyles that lead to significant mental and physical health consequences. Interventions targeting increases in physical activity (PA) in MMT patients could have a significant impact on reducing the overall morbidity in these individuals. The purpose of this study was to assess acceptability and feasibility of a 12-week peer-facilitated PA intervention for MMT patients called TREC (Transforming Recovery with Exercise and Community). Method: We developed and then pilot-tested TREC in 26 low-active MMT clients (73% female; mean age = 41.2 years). TREC included: 1) an orientation session and intervention materials, 2) weekly PA discussion groups led by trained MMT clients, 3) peer-led walking groups and 4) a Fitbit activity tracker to facilitate self-monitoring of PA. Results: Participants attended 63% of eligible TREC sessions. Sixty-nine percent of the sample wore the Fitbit for at least 6 weeks (of the 12-week intervention). Participants reported that they enjoyed the group walks and that it was helpful to have a peer-facilitated PA group. There were small-to-moderate effect sizes for increases in PA, positive affect, and benefits of PA, and decreases in illicit opioid use and barriers to PA. No changes in depression, anxiety, and negative affect were observed from baseline to the end of the 12-week intervention. Conclusion: Indicators of feasibility and acceptability suggest that a peer-facilitated PA intervention can be incorporated in the context of MMT. Low active, opioid dependent clients showed increases in PA during the 12-week intervention. A future randomized clinical trial is necessary to determine the efficacy of TREC on long-term maintenance of PA and ancillary mental health and substance use outcomes. (PsycInfo Database Record (c) 2021 APA, all rights reserved) (Source: journal abstract)",2021,https://doi.org/10.1016/j.mhpa.2021.100419,10
"Achterkamp, R.; Hermens, H. J.; Vollenbroek-Hutten, M. M. R.",The influence of success experience on self-efficacy when providing feedback through technology,"Background: as a high level of self-efficacy is associated with bigger behavioral changes as well as to higher levels of physical activity, the development and implementation of strategies that successfully improve self-efficacy are important to technological interventions. We performed an experiment to investigate whether self-efficacy regarding a specific task can be influenced by using feedback strategies that focus on success experience and are provided through technology. Method: subjects were asked to walk from A to B in exactly 14, 16 or 18s, wearing scuba fins and a blindfold. The task guaranteed an equal level of task experience among all subjects at the start of the experiment and makes it difficult for subjects to estimate their performance accurately. This allowed us to manipulate feedback and success experience through technology-supported feedback. Results: subjects’ self-efficacy regarding the task decreases when experiencing little success and that self-efficacy regarding the task increases when experiencing success. This effect did not transfer to level of self-efficacy regarding physical activity in general. Graphical inspection of the data shows a trend towards a positive effect of success experience on task performance. Conclusion: experiencing success is a promising strategy to use in technology-supported interventions that aim at changing behavior, like mobile physical activity applications. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",2015,https://doi.org/10.1016/j.chb.2015.06.029,4
"Achterkamp, R.; Hermens, H. J.; Vollenbroek-Hutten, M. M. R.",The influence of vicarious experience provided through mobile technology on self-efficacy when learning new tasks,"Background: A high level of self-efficacy is a major contributor to the effectiveness of physical activity interventions. However, it is insufficiently known whether techniques that are used to influence self-efficacy in face-to-face or printed text interventions can also be successfully incorporated in modern-day, mobile technology-supported interventions. We performed an experiment to investigate whether self-efficacy regarding a specific task can be influenced through vicarious experience provided through mobile technology. Method: 36 subjects were asked to walk from A to B in exactly 14, 16, or 18 s, wearing scuba fins and a blindfold. The task guaranteed equal level of task experience at the start of the experiment. Before every trial, subjects in group 1 viewed a video on a smartphone of a subject successfully performing the task, subjects in group 2 did not view a video. Results and conclusion: Although subjects found the video helpful for successful performance of the task and reported high perceived similarity, subjects’ level of self-efficacy regarding the task, as well as task performance did not differ significantly between the two groups. However, a secondary outcome parameter did indicate a possible difference between how subjects walked forward while wearing the scuba fins (either shuffling forward, or raising their knees high up). Future studies should investigate whether such instructional videos can contribute to higher levels of self-efficacy in mobile, technology-supported interventions in more ecologically valid settings. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",2016,https://doi.org/10.1016/j.chb.2016.04.006,4
"Ackermann, Nicole; Cameron, Linda D.; Maki, Julia; Carter, Chelsey R.; Liu, Ying; Dart, Hank; Bowen, Deborah J.; Colditz, Graham A.; Waters, Erika A.",Mental imagery‐based self‐regulation: Effects on physical activity behaviour and its cognitive and affective precursors over time,"Objectives: (1) Test whether a mental imagery‐based self‐regulation intervention increases physical activity behaviour over 90 days; (2) Examine cognitive and affective precursors of change in physical activity behaviour. Design: A randomized control trial with participants ( N = 500) randomized to one of six intervention conditions in a 3 (risk communication format: bulleted list, table, risk ladder) x 2 (mental imagery behaviour: physical activity, active control [sleep hygiene]) factorial design. Methods: After receiving personalized risk estimates via a website on a smartphone, participants listened to an audiorecording that guided them through a mental imagery activity related to improving physical activity (intervention group) or sleep hygiene behaviour (active control). Participants received text message reminders to complete the imagery for 3 weeks post‐intervention, 4 weekly text surveys to assess behaviour and its cognitive and affective precursors, and a mailed survey 90 days post‐baseline. Results: Physical activity increased over 90 days by 19.5 more minutes per week (95%CI: 2.0, 37.1) in the physical activity than the active control condition. This effect was driven by participants in the risk ladder condition, who exercised 54.8 more minutes (95%CI 15.6, 94.0) in the physical activity condition than participants in the active control sleep hygiene group. Goal planning positively predicted physical activity behaviour (b = 12.2 minutes per week, p = 0.002), but self‐efficacy, image clarity, and affective attitudes towards behaviours did not ( p > 0.05). Conclusions: Mental imagery‐based self‐regulation interventions can increase physical activity behaviour, particularly when supported by personalized disease risk information presented in an easy‐to‐understand format. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)",2022,https://doi.org/10.1111/bjhp.12558,6
"Adams, Marc A.; Todd, Michael; Angadi, Siddhartha S.; Hurley, Jane C.; Stecher, Chad; Berardi, Vincent; Phillips, Christine B.; McEntee, Mindy L.; Hovell, Melbourne F.; Hooker, Steven P.",Adaptive goals and reinforcement timing to increase physical activity in adults: A factorial randomized trial,"Introduction: Potent lifestyle interventions to increase moderate-to-vigorous physical activity are urgently needed for population-level chronic disease prevention. This trial tested the independent and joint effects of a mobile health system automating adaptive goal setting and immediate financial reinforcement for increasing daily walking among insufficiently active adults. Study Design: Participants were randomized into a 2 (adaptive versus static goal setting) X 2 (immediate versus delayed financial incentive timing) condition factorial trial to increase walking. Settings/Participants: Participants (N = 512 adults) were recruited between 2016 and 2018 and were 64.5% female, aged 18–60 years, 18.8% Hispanic, 6.1% African American, and 83% White. Intervention: Principles of reinforcement and behavioral economics directed intervention design. Main Outcome Measures: Participants wore accelerometers daily (133,876 day-level observations) that remotely measured moderate-to-vigorous physical activity bout minutes of ≥ 3 minutes/day for 1 year. Primary outcomes were between-condition differences in (1) engaging ≥ 1 bout of moderate-to-vigorous physical activity on each day and (2) on days with ≥ 1 bout, daily total moderate-to-vigorous physical activity minutes. Results: Mixed-effects hurdle models tested treatment group X phase (time) interactions using an intent-to-treat approach in 2021. Engaging in any ambulatory moderate-to-vigorous physical activity was greater for Adaptive than for Static Goal groups (OR = 2.34, 95% CI = 2.10, 2.60 vs OR = 1.66, 95% CI = 1.50, 1.84; p < 0.001) and for Immediate than for Static Reinforcement groups (OR = 2.16 95% CI = 1.94, 2.40 vs OR = 1.77, 95% CI = 1.59, 1.97; p < 0.01). The Immediate Reinforcement group increased by 16.54 moderate-to-vigorous physical activity minutes/day, whereas the Delayed Reinforcement group increased by 9.91 minutes/day ( p < 0.001). The combined Adaptive Goals + Immediate Reinforcement group increased by 16.52 moderate-to-vigorous physical activity minutes/day, significantly more than that of either Delayed Reinforcement group. Conclusions: This study offers automated and scalable–behavior change strategies for increasing walking among adults most at-risk for chronic diseases attributed to sedentary lifestyles. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)",2022,https://doi.org/10.1016/j.amepre.2021.09.014,10
"Adams, Zachary W.; Sieverdes, John C.; Brunner-Jackson, Brenda; Mueller, Martina; Chandler, Jessica; Diaz, Vanessa; Patel, Sachin; Sox, Luke R.; Wilder, Spencer; Treiber, Frank A.",Meditation smartphone application effects on prehypertensive adults’ blood pressure: Dose-response feasibility trial,"Objective: Essential hypertension (EH) is the most common chronic disease in the United States and a major cause of morbidity and mortality. Lifestyle interventions (e.g., diet, exercise, stress management) to reduce blood pressure (BP) are often complex with varying effectiveness. Breathing awareness meditation (BAM) is a stress management strategy with encouraging effects on BP, though widespread dissemination is hampered by the lack of an easy-to-use methodology to train and monitor BAM practices. A smartphone application (Tension Tamer [TT]) that implements BAM and tracks adherence has shown promise in addressing these gaps. This 6-month dose-response feasibility trial evaluated effects of the app on BP to further optimize BAM user guidelines. Methods: Sixty-four adults with prehypertension were randomized to complete TT-guided BAM sessions for 5-, 10-, or 15-min intervals twice daily over 6 months. Continuous heart rate readings derived from the phone’s video camera via reflective photoplethysmography were used as feedback and as an index of time-stamped adherence. Outcomes (resting BP, HR) were collected at baseline, 1-, 3-, and 6-months. Results: Mixed modeling results showed a significant time effect for systolic BP (SBP) with a dose-response effect at Months 3 and 6. Adherence declined over time and was lowest in the 15-min dose condition, though SBP reductions were maintained. Generally, adherence was negatively associated with dose as the study progressed. Conclusions: Smartphone-implemented BAM appears to reduce SBP and can be a low-cost method to reach large populations. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)",2018,https://doi.org/10.1037/hea0000584,1
"Adenekan, Modupe",Development and evaluation of a nurse practitioner-directed exercise program via a mobile application for adults with depression in a mental health practice,"Depression is a common mental health condition affecting millions of American adults. There have been many proposed interventions for managing depression, including pharmacotherapy and psychotherapy. However, evidence shows the benefit of nonpharmacological interventions, like exercise, in managing depression. Exercise is a cost-effective intervention with minimal negative impact, and side effects can be used alone or as an adjunct to other treatment options. The project aimed to answer the question - In adult patients diagnosed with depression, how does the implementation of an exercise intervention using a mobile application reminder when compared to current practice reduce depression symptoms over three months? At the end of the project, there was a significant reduction in depressive symptoms for the 30 participants. Additionally, engagement of physical activity as measured by a valid and reliable tool also increased. The results showed promise for greater use of exercise interventions in clinical practice, and advanced nursing practitioners are leaders who can champion translation of this evidence into practice and policy changes. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,,8
